shape,n_points,eig_index,eigenvalue,uncanon_score,is_uncanonicalizable,spectral_gap
symmetria/human/inst04_noise0.000,896,14,2.12734697,0.082980,True,0.06931652
symmetria/human/inst04_noise0.000,896,15,2.17612217,0.335661,False,0.06931652
symmetria/human/inst04_noise0.000,896,16,2.26492141,0.110285,True,0.06931652
symmetria/human/inst04_noise0.000,896,17,2.33428276,0.273084,False,0.06931652
symmetria/human/inst04_noise0.000,896,18,2.49168279,0.104414,True,0.06931652
symmetria/human/inst04_noise0.000,896,19,2.60852653,0.177558,False,0.06931652
symmetria/human/inst04_noise0.010,896,0,0.00000000,2.000000,False,0.06986181
symmetria/human/inst04_noise0.010,896,1,0.06986181,0.253363,False,0.06986181
symmetria/human/inst04_noise0.010,896,2,0.20916206,0.246068,False,0.06986181
symmetria/human/inst04_noise0.010,896,3,0.37186679,0.103831,True,0.06986181
symmetria/human/inst04_noise0.010,896,4,0.49505548,0.212985,False,0.06986181
symmetria/human/inst04_noise0.010,896,5,0.66881572,0.083142,True,0.06986181
symmetria/human/inst04_noise0.010,896,6,0.78749572,0.221116,False,0.06986181
symmetria/human/inst04_noise0.010,896,7,0.95013633,0.098933,True,0.06986181
symmetria/human/inst04_noise0.010,896,8,1.24766853,0.155253,True,0.06986181
symmetria/human/inst04_noise0.010,896,9,1.33326820,0.351412,False,0.06986181
symmetria/human/inst04_noise0.010,896,10,1.45019879,0.131678,True,0.06986181
symmetria/human/inst04_noise0.010,896,11,1.65710233,0.234717,False,0.06986181
symmetria/human/inst04_noise0.010,896,12,1.72795602,0.248608,False,0.06986181
symmetria/human/inst04_noise0.010,896,13,1.90497760,0.212332,False,0.06986181
symmetria/human/inst04_noise0.010,896,14,2.11704678,0.173505,False,0.06986181
symmetria/human/inst04_noise0.010,896,15,2.22988382,0.404478,False,0.06986181
symmetria/human/inst04_noise0.010,896,16,2.28438465,0.201573,False,0.06986181
symmetria/human/inst04_noise0.010,896,17,2.36192061,0.141469,True,0.06986181
symmetria/human/inst04_noise0.010,896,18,2.48124208,0.127190,True,0.06986181
symmetria/human/inst04_noise0.010,896,19,2.55522890,0.050374,True,0.06986181
symmetria/human/inst04_noise0.050,896,0,0.00000000,2.000000,False,0.07260170
symmetria/human/inst04_noise0.050,896,1,0.07260170,0.183034,False,0.07260170
symmetria/human/inst04_noise0.050,896,2,0.21989234,0.318722,False,0.07260170
symmetria/human/inst04_noise0.050,896,3,0.37895044,0.120951,True,0.07260170
symmetria/human/inst04_noise0.050,896,4,0.49464036,0.171209,False,0.07260170
symmetria/human/inst04_noise0.050,896,5,0.68746673,0.046575,True,0.07260170
symmetria/human/inst04_noise0.050,896,6,0.81446037,0.183281,False,0.07260170
symmetria/human/inst04_noise0.050,896,7,0.98918160,0.128258,True,0.07260170
symmetria/human/inst04_noise0.050,896,8,1.29405106,0.152661,True,0.07260170
symmetria/human/inst04_noise0.050,896,9,1.34516050,0.267949,False,0.07260170
symmetria/human/inst04_noise0.050,896,10,1.44092481,0.208350,False,0.07260170
symmetria/human/inst04_noise0.050,896,11,1.69119874,0.182126,False,0.07260170
symmetria/human/inst04_noise0.050,896,12,1.77574266,0.212736,False,0.07260170
symmetria/human/inst04_noise0.050,896,13,1.92009623,0.093856,True,0.07260170
symmetria/human/inst04_noise0.050,896,14,2.00410342,0.210342,False,0.07260170
symmetria/human/inst04_noise0.050,896,15,2.12233041,0.349416,False,0.07260170
symmetria/human/inst04_noise0.050,896,16,2.19139145,0.324914,False,0.07260170
symmetria/human/inst04_noise0.050,896,17,2.41917224,0.388916,False,0.07260170
symmetria/human/inst04_noise0.050,896,18,2.45517399,0.179358,False,0.07260170
symmetria/human/inst04_noise0.050,896,19,2.67425963,0.220847,False,0.07260170
symmetria/human/inst05_noise0.000,896,0,0.00000000,2.000000,False,0.07281064
symmetria/human/inst05_noise0.000,896,1,0.07281064,0.267371,False,0.07281064
symmetria/human/inst05_noise0.000,896,2,0.23754880,0.214195,False,0.07281064
symmetria/human/inst05_noise0.000,896,3,0.38150080,0.077461,True,0.07281064
symmetria/human/inst05_noise0.000,896,4,0.54038721,0.148392,True,0.07281064
symmetria/human/inst05_noise0.000,896,5,0.73466866,0.084436,True,0.07281064
symmetria/human/inst05_noise0.000,896,6,0.96612194,0.489301,False,0.07281064
symmetria/human/inst05_noise0.000,896,7,1.00047534,0.323344,False,0.07281064
symmetria/human/inst05_noise0.000,896,8,1.27416868,0.057305,True,0.07281064
symmetria/human/inst05_noise0.000,896,9,1.33789017,0.418038,False,0.07281064
symmetria/human/inst05_noise0.000,896,10,1.40461377,0.083772,True,0.07281064
symmetria/human/inst05_noise0.000,896,11,1.57732640,0.200329,False,0.07281064
symmetria/human/inst05_noise0.000,896,12,1.67242523,0.267667,False,0.07281064
symmetria/human/inst05_noise0.000,896,13,1.83861088,0.133384,True,0.07281064
symmetria/human/inst05_noise0.000,896,14,1.88192263,0.255390,False,0.07281064
